iteration,learning_rate,log_learning_rate,validation_loss,validation_accuracy,training_time_seconds,is_initial_design,is_best_so_far,timestamp
1,0.001964,-2.7069,0.378571,88.2100,355.65,True,True,2025-12-05 22:35:12
2,0.008003,-2.0968,0.336234,90.8700,354.88,True,True,2025-12-05 22:41:07
3,0.028319,-1.5479,0.303149,92.1400,354.63,True,True,2025-12-05 22:47:02
4,0.100000,-1.0000,0.301255,88.9600,355.55,False,True,2025-12-05 22:53:00
5,0.000100,-4.0000,0.603998,80.2800,356.44,False,False,2025-12-05 22:58:59
6,0.055553,-1.2553,0.260240,92.2900,359.17,False,True,2025-12-05 23:04:59
7,0.048002,-1.3187,0.262372,92.0200,356.68,False,False,2025-12-05 23:11:02
8,0.000595,-3.2253,0.417396,86.0900,356.43,False,False,2025-12-05 23:17:02
9,0.004251,-2.3715,0.359242,89.6900,356.20,False,False,2025-12-05 23:23:00
10,0.015037,-1.8228,0.319149,91.7700,355.19,False,False,2025-12-05 23:28:57
